V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
1.725264656,-1.337255919,-1.012687232,-0.361656463,-1.431611119,-1.098680968,-0.842273887,-0.026594411,-0.032408692,0.215113318,1.618951505,-0.654046265,-1.442664615,-1.54653811,-0.230008313,1.785539417,1.419793005,0.071665517,0.233031136,0.275911462,0.414523549,0.793433622,0.028886629,0.419420877,-0.36752863,-0.155634495,-0.015767676,0.01079027,189,0
0.683253845,-1.68187486,0.533349336,-0.326064341,-1.455602602,0.101831722,-0.520590367,0.114036026,-0.601759617,0.444011205,1.521570132,0.499202119,-0.127848981,-0.237253049,-0.752351221,0.667190352,0.72478531,-1.736614528,0.702087839,0.638185555,0.116897942,-0.304605373,-0.125546963,0.244847768,0.069163081,-0.460711621,-0.017068229,0.063542064,315.17,0
1.067972964,-0.656667445,1.029737558,0.253898951,-1.172714738,0.073231518,-0.745770542,0.249803357,1.383057083,-0.483770935,-0.782779719,0.005241827,-1.273287554,-0.269260191,0.091286973,-0.347972605,0.495328201,-0.925949077,0.099138002,-0.083858822,-0.189314728,-0.426743269,0.079538638,0.129691732,0.002778499,0.970497826,-0.035055579,0.017312509,59.98,0
0.119513434,0.729275299,-1.678878876,-1.551407688,3.128913876,3.210632202,0.35627617,0.920374451,-0.16058862,-0.801747535,0.137340522,-0.156739829,-0.429387606,-0.752391517,0.155271798,0.215068493,0.352222181,-0.376167526,-0.398920092,0.04371523,-0.335824703,-0.906170799,0.108350039,0.593062338,-0.42430282,0.164200869,0.245880852,0.071028975,0.89,0
1.271252849,0.275694483,0.159568036,1.003095765,-0.128534595,-0.608729738,0.088777414,-0.145336127,0.156047118,0.02270711,-0.963306375,-0.228073586,-0.324932986,0.390608594,1.065923252,0.285929897,-0.62707223,0.170174816,-0.215911768,-0.147394365,0.0319579,0.123502766,-0.174527773,-0.147534893,0.735909093,-0.262269751,0.015576818,0.015954619,6.53,0
-2.048387835,-2.070702891,0.567587483,0.125986992,3.33221851,-2.139415698,-0.451742592,-0.132703541,0.066943395,-0.271045737,-1.033948933,-0.593337546,-0.822349411,0.512269841,0.968195998,-0.535659363,-0.400839662,0.330422539,0.205001038,0.755747833,0.495634745,0.7525622,0.18496731,0.607580473,0.323287087,-0.092173837,-0.1592605,-0.026735298,49.5,0
0.244682823,0.788305975,0.194046269,0.672979161,-0.656488762,-0.437876857,-0.499455719,-1.513101053,0.532142161,0.363574098,-0.206083059,-0.672480269,-2.070393851,0.633936162,1.482089557,-0.168771841,0.340170964,-0.616309416,-0.156340532,-0.634252754,1.420391548,-0.914345131,0.746450247,0.286963825,-1.330490718,-0.013289794,-0.112603983,-0.119820074,9.99,0
1.251596618,-1.452291981,0.657897118,-1.41039411,-1.69246874,-0.179552739,-1.194354642,-0.050463803,-1.957462324,1.502762417,1.056444901,0.291090225,1.744166853,-0.576032082,0.036316127,0.1101061,-0.060239323,0.869247587,-0.105954664,0.012479731,0.109151536,0.507405229,-0.200820249,0.042399891,0.380728748,-0.060044646,0.037354534,0.036552165,128,0
-0.198071574,-2.983523508,0.151695132,-0.397194696,-2.066812598,-0.260755798,0.299908036,-0.22870227,2.170327349,-1.723927658,-0.675136966,1.694727988,1.167675843,-0.740835407,-0.292582651,-1.08146127,0.434010285,-0.188094355,0.927080619,1.48254382,0.460325296,0.1905577,-0.825536973,0.570107752,0.410124024,0.087074435,-0.074027843,0.151390466,750,0
1.232264201,0.185777864,-0.029376468,0.674765505,0.407075769,0.562455295,-0.123680636,0.194492904,-0.073745096,0.134661236,0.446871806,0.419215734,-0.218974186,0.55673429,0.697695134,0.434903952,-0.852269527,0.304847768,0.001942529,-0.148675607,-0.056671048,-0.145037972,-0.140785471,-1.165249042,0.583648476,-0.352931464,0.031514184,-0.000817944,2.5,0
-0.412099979,1.642684057,-0.493826845,2.034164354,1.119937263,-0.64275385,1.016182845,-2.65262157,0.920557218,1.303950905,0.412350258,-2.813880225,1.65751109,1.833498379,0.590954597,-1.736570646,1.083026327,0.288734546,2.034280703,-0.206511204,1.521725744,0.480073989,0.288669193,-0.009733207,-0.902404204,-0.339310484,-0.068316577,-0.089548378,5.49,0
1.152834609,-0.006845795,1.332133068,1.238106651,-1.220084869,-0.674820236,-0.604342396,0.082208031,0.726754365,-0.021634638,-0.375409637,-0.351758732,-1.166315665,0.225363156,1.513398265,0.57933407,-0.485739305,0.379164794,-0.750427497,-0.207562052,0.10924887,0.299908876,0.044466491,0.666273054,0.261683733,-0.390639694,0.056342771,0.041155573,7.54,0
-0.655542792,0.344234264,0.732564145,2.93649582,1.382694333,-0.481879735,0.230958188,0.023799656,-1.31340118,1.069192,-1.320710846,-0.687291165,0.184099626,0.395461846,1.065286951,-0.018300384,-0.229955743,0.235238381,1.070327958,0.574006924,0.06839464,0.002111673,0.122822023,-0.468817345,-0.204676359,0.217254083,0.299491919,0.166950979,46.24,0
-0.806885354,-0.020329442,-0.22036441,-1.151842132,-0.493076456,-0.643215263,1.042883921,0.015952994,-1.598674047,-0.424822343,-1.27115388,0.539481375,1.862566251,0.167583447,-0.233591454,-1.762670248,-0.202351868,1.413873865,-1.159283463,-0.102539127,0.251398333,0.876777489,0.214481855,-0.139870576,-0.03883648,-0.106831632,0.020601413,0.11533338,210,0
0.838362738,-1.245224683,0.128168906,0.125235782,-0.814875507,0.56946149,-0.402452995,0.239324976,-0.786251504,0.652748109,1.059598946,0.441840481,-0.954186495,0.349394098,-0.491998903,-2.212074481,0.708918491,0.407189639,-1.036609941,-0.247883353,-0.304279272,-0.678693966,-0.090557508,-0.301610025,0.185401377,0.39381489,-0.019519252,0.028169731,206,0
-0.305145732,0.81534095,0.023736067,-0.606029084,1.154649498,-0.903627761,0.928527338,-0.072872731,-0.176076717,-1.122176346,-0.992869633,-0.863158713,-1.263212868,-0.675467137,-0.133024925,0.334672414,0.452754223,-0.001749152,-0.092104262,-0.118642868,-0.259332164,-0.834481729,0.034129048,0.53619902,-0.602072659,0.095673796,0.094888779,0.199246761,0.99,0
2.038747054,-0.496972658,-1.158879561,-0.356184205,-0.451430982,-1.196966262,-0.012637945,-0.335266439,1.238859692,-0.320571024,-0.942743853,0.599526758,0.04367187,-0.023997654,-0.385794584,-0.612469556,0.051380771,-0.648105636,0.516638046,-0.150474744,0.063801234,0.464515272,0.05100722,0.159017348,0.020578679,0.995875974,-0.091127825,-0.070517545,27.83,0
0.255566437,0.55953788,1.348782928,1.157414545,-0.209563858,-0.205535329,0.51456797,-0.195938753,-0.245913314,0.366104797,1.230295641,0.88907429,0.035140902,-0.049291178,-0.380116737,-0.968160578,0.283851152,0.063204997,2.110884698,0.194612919,-0.007670318,0.382905164,0.173588145,0.583684616,-1.429102455,0.221818923,0.093901097,0.020287199,20.04,0
0.710961747,0.586095967,-2.439839969,0.157254551,0.635939431,-1.34943183,0.391441984,-3.322921612,-0.388069221,-0.669863516,-1.147725254,0.102851672,-1.060332107,1.56453122,-0.421587514,-0.926466178,0.005158895,-0.318587736,-0.144304292,0.564644733,-0.748497229,1.825091209,-0.102084224,0.111668301,-0.24158394,-0.077393494,0.25157363,0.454776156,118,0
-0.749373753,0.10608707,-0.506126291,0.32735783,1.731554044,4.303868238,1.070034883,0.879848243,-0.52919854,-0.244780258,-0.624147737,-0.191922697,-0.165794093,0.162253895,0.174006284,-0.54232732,-0.168162728,0.32594306,1.386943639,0.880461603,0.043135065,-0.169171966,0.421641767,0.981768624,0.252250358,-0.24629088,0.320931257,0.220351572,282.27,0
1.078417535,0.08750361,0.404168358,1.296532,-0.112814763,0.146750574,-0.002168313,0.122985939,0.024882036,0.033056741,1.165786407,1.233541234,-0.185244792,0.262313126,-0.795198242,-0.524992167,0.011791317,-0.48157362,-0.085085667,-0.132214577,-0.036205301,0.047123754,-0.09540788,0.027854515,0.625653202,-0.332010206,0.032078546,0.009683396,30.86,0
1.356976442,-1.047874231,-2.050384849,0.548988763,-0.080064366,-0.603953892,0.433428924,-0.177912746,0.760966885,-0.825521481,0.96204653,0.885915319,-0.192753564,-1.17383141,-0.711886517,0.257032224,0.782067256,0.600111405,0.360504215,0.49346394,-0.011989407,-0.544920648,-0.148581763,-0.496056169,-0.188857563,-0.117453209,-0.070298826,0.021814392,338.56,0
2.050906945,-0.354159034,-1.808637108,0.060744349,0.249213494,-0.788079171,0.177694634,-0.294935003,0.634096628,0.179145664,-1.78643659,-0.733540499,-0.769198284,0.578950547,0.822032186,0.393720049,-0.787858532,0.185819617,0.150300633,-0.125639133,0.163068837,0.425951403,-0.116769927,-0.952822084,0.140382714,0.846968999,-0.108494199,-0.073431529,59.95,0
1.847471054,-0.258381431,-2.088264367,0.364586476,0.328868878,-0.838285915,0.291889734,-0.123457192,0.314949378,-0.251000337,1.076306381,0.020146035,-1.58804858,-0.359975834,-0.417256881,0.421146677,0.561736027,0.395535924,0.253479444,-0.039007861,-0.141791178,-0.61659111,0.162758611,0.655909055,-0.205734644,0.418297651,-0.115923423,-0.031321816,101.9,0
1.109193462,0.012747027,0.78893894,1.440863804,-0.665466739,-0.260664017,-0.226648522,0.107047083,0.378339166,0.062574691,0.895768211,0.838009863,-0.9692438,0.204957222,-1.067947302,-0.204803387,-0.140365041,0.123993567,0.176590233,-0.180249589,-0.017250088,0.100260682,-0.090376984,0.53217018,0.615791286,-0.32719438,0.029623409,0.015491353,18.62,0
-0.732039703,-0.004000865,0.343697351,-1.756909994,2.777756455,3.893287879,-0.436298343,1.092310512,1.743456657,-1.516805925,0.431919648,-2.428703726,1.350885106,1.341126126,-0.554577494,0.147084882,-0.121296461,0.472472635,-1.197917504,-0.052809898,0.146315802,0.56509688,-0.16019153,0.655098231,0.005814275,-0.337034066,0.13173738,0.14547898,24.99,0
1.256259777,-0.747699708,1.086004474,-0.582764541,-1.472573006,-0.433142857,-1.026672809,0.017618065,-0.499231305,0.537184844,0.277086658,-0.185687477,0.718259368,-0.489452995,1.292647804,1.071774932,0.427198596,-1.463126418,-0.270747423,0.13352412,0.452536246,1.25746733,-0.062365956,0.457871321,0.31671341,-0.044127348,0.052530477,0.0314551,39,0
-2.161050752,1.005569815,-1.558311524,-0.088447917,1.826600574,3.261700935,-0.900879456,1.87746716,-0.408378096,0.186572965,-0.651120236,0.111223606,0.230988056,0.897143176,1.260141154,0.398458025,-0.415611655,0.832659731,0.659119117,-0.23241806,0.17214288,0.713802081,0.327614346,1.027224525,-0.078137211,-0.244031465,-0.059839978,-0.216627357,22.02,0
