BMI_female,BMI_male,CO2,GDP,HIV,child_mortality,fertility,life,population
129.9049,24.5962,3.328944661018629,12314.0,0.1,29.5,2.73,75.3,34811059.0
130.1247,22.25083,1.4743533878509398,7103.0,2.0,192.0,6.43,58.3,19842251.0
118.8915,27.5017,4.78516998252535,14646.0,0.5,15.4,2.24,75.5,40381860.0
132.8108,25.355420000000002,1.8041062172001001,7383.0,0.1,20.0,1.4,72.5,2975029.0
117.3755,27.56373,18.0163132681972,41312.0,0.1,5.2,1.96,81.5,21370348.0
124.1394,26.467409999999997,8.18316001754696,43952.0,0.3,4.6,1.41,80.4,8331465.0
128.6024,25.65117,5.10953829181389,14365.0,0.1,43.3,1.99,70.6,8868713.0
124.3862,27.24594,3.13192132134112,24373.0,3.1,14.5,1.89,72.2,348587.0
125.0307,20.39742,0.31916100201885805,2265.0,0.06,55.9,2.38,68.4,148252473.0
126.39399999999999,26.384390000000003,6.00827883508462,16075.0,1.3,15.4,1.83,75.3,277315.0
129.7968,26.16443,6.48817388016763,14488.0,0.2,7.2,1.42,70.1,9526453.0
121.8227,26.75915,9.79733671427737,41641.0,0.2,4.7,1.82,79.4,10779155.0
120.9224,27.02255,1.3601259202571898,8293.0,2.4,20.1,2.91,70.7,306165.0
130.2723,22.41835,0.5375391835148801,1646.0,1.2,116.3,5.27,63.2,8973525.0
125.1258,22.8218,0.601210310020156,5663.0,0.2,48.1,2.51,67.6,694990.0
122.4155,24.43335,1.43182915030318,5066.0,0.2,52.0,3.48,70.9,9599916.0
133.1307,22.129839999999998,2.5472054915144904,13858.0,24.9,63.8,2.86,61.2,1967866.0
124.8745,25.78623,2.02377283620826,13906.0,0.45,18.6,1.9,73.9,194769696.0
128.4721,26.542859999999997,6.69013908249446,15368.0,0.1,13.7,1.43,73.2,7513646.0
130.6651,21.27157,0.109419170900456,1358.0,1.2,130.4,6.04,59.4,14709011.0
134.1955,21.50291,0.031388801289793995,723.0,3.5,108.6,6.48,57.4,8821795.0
117.5528,20.80496,0.28754749573718796,2442.0,0.6,51.5,3.05,66.2,13933660.0
127.2823,23.681729999999998,0.29554163922618,2571.0,5.3,113.8,5.17,56.6,19570418.0
118.0571,27.4521,16.350398627330502,41468.0,0.2,5.8,1.68,80.7,33363256.0
127.86399999999999,21.485689999999998,0.047839126373075,1753.0,3.4,168.0,6.81,54.8,11139740.0
125.5417,27.015420000000002,4.24025913623095,18698.0,0.4,8.9,1.89,78.9,16645940.0
124.0235,24.94041,1.4760918200836202,10489.0,0.5,19.7,2.43,75.1,44901660.0
132.1354,22.06131,0.17885306407817494,1440.0,0.06,91.2,5.05,62.6,665414.0
131.6935,21.87134,0.3842204768660961,5022.0,3.5,72.6,5.1,58.6,3832771.0
121.35,26.47897,1.9119334188978503,12219.0,0.3,10.3,1.91,79.7,4429506.0
131.5237,22.56469,0.361896602941861,2854.0,3.7,116.9,4.91,55.9,19261647.0
130.3921,26.596290000000003,5.28790257621164,21873.0,0.06,5.9,1.43,76.5,4344151.0
126.0594,25.06867,2.7017771665481,17765.0,0.1,6.3,1.5,77.8,11290239.0
119.5815,26.13287,8.54150780114596,45017.0,0.2,4.3,1.89,78.7,5495302.0
129.3376,23.38403,0.612799523785036,2502.0,2.6,81.0,3.76,61.0,809639.0
122.9864,25.58841,2.1105178014248,9244.0,0.4,26.8,2.73,74.0,14447600.0
125.0931,26.732429999999997,2.51239420485077,9974.0,0.06,31.4,2.95,70.1,78976122.0
119.9321,26.36751,1.06776463433017,7450.0,0.8,21.6,2.32,74.1,6004199.0
132.0392,23.7664,6.798253229396759,40143.0,4.7,118.4,5.31,56.7,686223.0
125.7948,20.885089999999998,0.08374564419905099,1088.0,0.8,60.4,5.16,60.4,4500638.0
129.5161,26.264459999999996,13.0313788748608,24743.0,1.2,5.5,1.62,74.0,1339941.0
127.4768,26.53078,1.27777955576417,7129.0,0.1,24.0,2.74,65.7,843206.0
126.5645,26.733390000000004,10.6441142837652,42122.0,0.1,3.3,1.85,79.4,5314170.0
120.0146,25.853289999999998,5.9990207264502295,37505.0,0.4,4.3,1.97,81.0,62309529.0
130.3625,24.0762,1.07953931688168,15800.0,5.3,68.0,4.28,57.5,1473741.0
130.208,21.65029,0.251002328494815,1566.0,1.7,87.4,5.8,62.2,1586749.0
130.5789,25.54942,1.4194297793044999,5900.0,0.1,19.3,1.79,72.1,4343290.0
124.9044,27.16509000000001,9.497246756545973,41199.0,0.1,4.4,1.37,80.0,80665906.0
128.2953,22.842470000000002,0.36660084873269,2907.0,1.8,79.9,4.19,62.7,23115919.0
122.9342,26.33786,8.66123553121303,32197.0,0.1,4.9,1.46,79.5,11161755.0
120.9596,25.29947,0.835594820071747,6960.0,0.8,36.9,4.12,70.8,14106687.0
132.2765,22.52449,0.12696440010279902,1230.0,1.4,121.0,5.34,58.3,10427356.0
130.7627,21.64338,0.156376432466591,1326.0,2.5,127.6,5.25,51.3,1561293.0
125.1512,23.68465,2.07341531196141,5208.0,1.2,41.9,2.74,63.0,748096.0
125.3461,23.66302,0.24930675467243002,1600.0,2.0,83.3,3.5,61.7,9705130.0
122.9621,25.10872,1.1874535163184798,4391.0,0.8,26.5,3.27,70.9,7259470.0
128.6968,27.115679999999998,5.45323172371614,23334.0,0.06,7.2,1.33,73.8,10050699.0
118.7381,27.206870000000002,6.8219030512940995,42294.0,0.3,2.7,2.12,82.0,310033.0
123.1274,20.95956,1.5208494207295702,3901.0,0.32,65.6,2.64,64.4,1197070109.0
126.4216,21.85576,1.7550442204323995,7856.0,0.2,36.2,2.48,69.5,235360765.0
125.1859,25.310029999999998,7.89221094080634,15955.0,0.2,21.4,1.88,76.9,72530693.0
124.7801,27.65325,9.88253103434228,47713.0,0.2,4.5,2.0,79.4,4480145.0
121.0838,27.13151,10.0011881389889,28562.0,0.2,4.9,2.92,80.9,7093808.0
123.70299999999999,26.4802,7.465942414501621,37475.0,0.3,4.1,1.39,81.4,59319234.0
125.3685,24.00421,4.39145647399792,8951.0,1.7,18.9,2.39,75.5,2717344.0
121.9651,23.50004,9.536605685814381,34800.0,0.06,3.4,1.34,82.6,127317900.0
128.8517,26.290779999999998,14.718104264070801,18797.0,0.1,25.9,2.51,66.1,15915966.0
129.9341,21.592579999999998,0.266308378184837,2358.0,6.3,71.0,4.76,61.5,38244442.0
129.5746,26.45693,3.34184866312845,20977.0,0.6,10.5,1.5,72.3,2144215.0
127.5037,27.20117,3.996721795381,14158.0,0.1,11.3,1.57,77.6,4109389.0
131.1361,21.90157,0.00861766941868,2041.0,23.6,114.2,3.34,45.2,1972194.0
131.2555,21.89537,0.15735218279458202,588.0,1.6,100.9,5.19,61.0,3672782.0
130.8226,26.86102,4.49848339141717,23223.0,0.1,8.2,1.42,72.0,3219802.0
122.3705,27.434040000000003,22.1680796908671,95001.0,0.3,2.8,1.63,80.7,485079.0
132.8371,21.403470000000002,0.09942214756409101,1528.0,0.2,66.7,4.79,63.4,19926798.0
133.939,22.034679999999998,0.082469880821383,674.0,11.2,101.1,5.78,51.4,13904671.0
123.8593,24.73069,7.75223394597224,19968.0,0.5,8.0,2.05,74.5,27197419.0
123.3223,23.219910000000002,3.27772576758378,12029.0,0.06,16.0,2.38,78.2,321026.0
128.0308,21.78881,0.041078866582894995,1602.0,1.0,148.3,6.82,55.8,14223403.0
124.1571,27.683609999999998,6.18277102166305,27872.0,0.1,6.6,1.38,81.4,406392.0
129.9875,22.62295,0.613103977214908,3356.0,0.7,103.0,4.94,63.6,3414552.0
130.8786,25.15669,3.07876289709044,14615.0,0.9,15.8,1.58,72.1,1238013.0
122.1216,27.42468,4.26117186643567,15826.0,0.3,17.9,2.35,75.7,114972821.0
129.9424,24.2369,1.3133211868088002,3890.0,0.4,17.6,1.49,69.6,4111168.0
129.7504,24.88385,3.7594868153666496,7563.0,0.06,34.8,2.37,63.2,2629666.0
126.5284,25.63182,1.5940831352875,6091.0,0.1,35.8,2.44,73.3,31350544.0
135.3949,21.93536,0.10474830108643901,864.0,11.4,114.4,5.54,55.0,22994867.0
123.1421,21.44932,0.191053400032007,2891.0,0.6,87.2,2.05,60.8,51030006.0
125.5561,20.76344,0.10541298260343301,1866.0,0.4,50.7,2.9,68.6,26325183.0
